match,bowlingTeam,bowlerName,overs,maiden,runs,wickets,economy,0s,4s,6s,wides,noBalls,matchDate
Titans Vs KKR,KKR,ShardulThakur,3,0,40,0,13.33,4,3,3,1,0,"Apr 9, 2023"
Titans Vs KKR,KKR,LockieFerguson,4,0,40,0,10.00,8,3,2,1,1,"Apr 9, 2023"
Titans Vs KKR,KKR,SunilNarine,4,0,33,3,8.25,8,3,1,1,0,"Apr 9, 2023"
Titans Vs KKR,KKR,VarunChakravarthy,2,0,27,0,13.50,1,2,1,1,0,"Apr 9, 2023"
Titans Vs KKR,KKR,SuyashSharma,4,0,35,1,8.75,6,3,0,1,0,"Apr 9, 2023"
Titans Vs KKR,Titans,MohammedShami,4,0,28,1,7.00,10,2,1,0,0,"Apr 9, 2023"
Titans Vs KKR,Titans,JoshLittle,4,0,45,1,11.25,9,4,3,3,0,"Apr 9, 2023"
Titans Vs KKR,Titans,AlzarriJoseph,4,0,27,2,6.75,14,2,2,0,0,"Apr 9, 2023"
Titans Vs KKR,Titans,YashDayal,4,0,69,0,17.25,4,3,8,0,0,"Apr 9, 2023"
Titans Vs KKR,Titans,RashidKhan,4,0,37,3,9.25,6,4,1,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Sunrisers,BhuvneshwarKumar,4,0,33,1,8.25,13,6,0,3,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Sunrisers,MarcoJansen,3,1,16,2,5.33,14,2,1,1,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Sunrisers,TNatarajan,4,0,40,0,10.00,10,3,3,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Sunrisers,WashingtonSundar,1,0,6,0,6.00,3,1,0,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Sunrisers,MayankMarkande,4,0,15,4,3.75,15,2,0,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Sunrisers,UmranMalik,4,0,32,2,8.00,14,3,2,1,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,SamCurran,3,0,14,0,4.66,8,1,0,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,ArshdeepSingh,3,0,20,1,6.66,10,4,0,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,HarpreetBrar,3.1,0,26,0,8.21,8,5,0,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,NathanEllis,3,0,28,0,9.33,5,5,0,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,RahulChahar,3,0,28,1,9.33,8,4,1,0,0,"Apr 9, 2023"
Punjab Kings Vs Sunrisers,Punjab Kings,MohitRathee,2,0,29,0,14.50,3,3,2,0,0,"Apr 9, 2023"
RCB Vs Super Giants,Super Giants,JaydevUnadkat,2,0,27,0,13.50,3,2,2,1,0,"Apr 10, 2023"
RCB Vs Super Giants,Super Giants,AveshKhan,4,0,53,0,13.25,8,5,4,0,0,"Apr 10, 2023"
RCB Vs Super Giants,Super Giants,KrunalPandya,4,0,35,0,8.75,5,2,2,0,0,"Apr 10, 2023"
RCB Vs Super Giants,Super Giants,MarkWood,4,1,32,1,8.00,12,1,3,2,0,"Apr 10, 2023"
RCB Vs Super Giants,Super Giants,RaviBishnoi,4,0,39,0,9.75,5,1,3,1,0,"Apr 10, 2023"
RCB Vs Super Giants,Super Giants,AmitMishra,2,0,18,1,9.00,2,1,1,0,0,"Apr 10, 2023"
RCB Vs Super Giants,RCB,MohammedSiraj,4,0,22,3,5.50,16,3,0,4,0,"Apr 10, 2023"
RCB Vs Super Giants,RCB,DavidWilley,4,0,32,0,8.00,6,2,1,1,0,"Apr 10, 2023"
RCB Vs Super Giants,RCB,WayneParnell,4,0,41,3,10.25,6,5,1,3,0,"Apr 10, 2023"
RCB Vs Super Giants,RCB,HarshalPatel,4,0,48,2,12.00,5,4,3,0,0,"Apr 10, 2023"
RCB Vs Super Giants,RCB,KarnSharma,3,0,48,1,16.00,5,3,5,1,0,"Apr 10, 2023"
RCB Vs Super Giants,RCB,ShahbazAhmed,1,0,15,0,15.00,1,0,2,0,0,"Apr 10, 2023"
Capitals Vs Mumbai,Mumbai,JasonBehrendorff,3,0,23,3,7.66,8,1,2,0,0,"Apr 11, 2023"
Capitals Vs Mumbai,Mumbai,ArshadKhan,1,0,12,0,12.00,1,2,0,1,0,"Apr 11, 2023"
Capitals Vs Mumbai,Mumbai,CameronGreen,3,0,30,0,10.00,4,5,0,1,0,"Apr 11, 2023"
Capitals Vs Mumbai,Mumbai,HrithikShokeen,4,0,43,1,10.75,10,4,2,1,1,"Apr 11, 2023"
Capitals Vs Mumbai,Mumbai,RileyMeredith,3.4,0,34,2,9.27,10,5,1,0,1,"Apr 11, 2023"
Capitals Vs Mumbai,Mumbai,PiyushChawla,4,0,22,3,5.50,9,2,0,0,0,"Apr 11, 2023"
Capitals Vs Mumbai,Mumbai,TilakVarma,1,0,7,0,7.00,3,1,0,1,0,"Apr 11, 2023"
Capitals Vs Mumbai,Capitals,MukeshKumar,2,0,30,2,15.00,6,3,3,0,0,"Apr 11, 2023"
Capitals Vs Mumbai,Capitals,MustafizurRahman,4,0,38,1,9.50,11,5,2,0,0,"Apr 11, 2023"
Capitals Vs Mumbai,Capitals,AnrichNortje,4,0,35,0,8.75,8,2,2,0,0,"Apr 11, 2023"
Capitals Vs Mumbai,Capitals,LalitYadav,4,0,23,0,5.75,10,1,1,1,0,"Apr 11, 2023"
Capitals Vs Mumbai,Capitals,AxarPatel,4,0,20,0,5.00,12,2,0,1,0,"Apr 11, 2023"
